index,nctId,claim,PMID,article_title,article_abstract,label,outcome_type,outcome_title,outcome_description,intervention_group_title,comparator_group_title,intervention_group_description,comparator_group_description,intervention_group_intervention_label,comparator_group_intervention_label,intervention_group_arm_group_type,comparator_group_arm_group_type,pValues,statisticalMethods,nonInferiorityTypes,Publication Date
5604,NCT03331978,"Rise - Treatment Education is superior to Control - No Treatment Education in terms of Continuous Adherence baseline (pre-treatment) and post-treatment observations at 7, 8, 9, 10, 11, and 12 months post-baseline",18389363,Development and psychometric assessment of a multidimensional measure of internalized HIV stigma in a sample of HIV-positive adults.,"There is a need for a psychometrically sound measure of the stigma experienced by diverse persons living with HIV/AIDS (PLHA). The goal of this study was to develop and evaluate a multidimentional measure of internalized HIV stigma that captures stigma related to treatment and other aspects of the disease among sociodemographically diverse PLHA. We developed a 28-item measure of internalized HIV stigma composed of four scales based on previous qualitative work. Internal consistency reliability estimates in a sample of 202 PLHA was 0.93 for the overall measure, and exceeded 0.85 for three of the four stigma scales. Items discriminated well across scales, and correlations of the scales with shame, social support, and mental health supported construct validity. This measure should prove useful to investigators examining in the role of stigma in HIV treatment and health outcomes, and evaluating interventions designed to mitigate the impacts of stigma on PLHA.",2,PRIMARY,Continuous Adherence,Percentage of doses taken of those prescribed from electronic monitoring. Here we present all data collected at all time points used in analysis. Evaluation of intervention efficacy was performed with repeated measures regression using continuous adherence measurements at all 6 months post-intervention (7th through 12th month post-baseline) and was restricted to those with adherence data at baseline.,Rise - Treatment Education,Control - No Treatment Education,"Rise consists of a one-month intensive intervention (with three core 60-minute counseling sessions at weeks 1, 2, and 4) followed by two booster sessions (at weeks 12 and 20). If participants show nonadherence during booster sessions, they are offered up to four additional booster sessions (i.e., extra booster sessions if \<85% of prescribed doses were taken in the past month). Thus, participants receive three core sessions in the first month, followed by 2-6 booster sessions over the next four months.

Rise - Treatment Education: Rise consists of a one-month intensive intervention (with three core 60-minute counseling sessions at weeks 1, 2, and 4) followed by two booster sessions (at weeks 12 and 20). If participants show nonadherence during booster sessions, they are offered up to four additional booster sessions (i.e., extra booster sessions if \<85% of prescribed doses were taken in the past month). Thus, participants receive three core sessions in the first month, followed by 2-6 booster sessions over the next four months.",The Usual Care control group will only receive standard of care through their HIV clinics.,BEHAVIORAL,,EXPERIMENTAL,NO_INTERVENTION,['.08'],"['Regression, Linear']",['Superiority'],2008-Sep-N/A
7721,NCT01088438,Contextualization Workshop is superior or other to Control in terms of Probing for Biomedical Issues 1 month,20841532,An educational intervention for contextualizing patient care and medical students' abilities to probe for contextual issues in simulated patients.,"CONTEXT: A contextual error occurs when a physician does not identify elements of a patient's environment or behavior, such as access to care, that must be addressed to appropriately plan care. Research has demonstrated that contextual errors can be identified using standardized patients.
OBJECTIVE: To evaluate an educational intervention designed to increase physicians' skills in incorporating the patient's context in assessment and management of care and to thereby decrease the rate of contextual errors.
DESIGN, SETTING, AND PARTICIPANTS: Quasi-randomized controlled trial, with assessments by blinded observers. Fourth-year medical students (n = 124) in internal medicine subinternships at the University of Illinois at Chicago or Jesse Brown Veterans Administration Medical Center between July 2008 and April 2009 and between August 2009 and April 2010 participated and were assessed.
INTERVENTION: A 4-hour course on contextualization.
MAIN OUTCOME MEASURES: Probing for contextual issues in an encounter, probing for medical issues in an encounter, and developing an appropriate treatment plan. Outcomes were assessed using 4 previously validated standardized patient encounters performed by each participant and were adjusted for subinternship site, academic year, time of year, and case scenario.
RESULTS: Students who participated in the contextualization workshops were significantly more likely to probe for contextual issues in the standardized patient encounters than students who did not (90% [95% confidence interval {CI}, 87%-94% ] vs 62% [95% CI, 54%-69%], respectively) and significantly more likely to develop appropriate treatment plans for standardized patients with contextual issues (69% [95% CI, 57%-81%] vs 22% [95% CI, 12%-32%]. There was no difference between the groups in the rate of probing for medical issues (80% [95% CI, 75%-85%] vs 81% [95% CI, 76%-86%]) or developing appropriate treatment plans for standardized patients with medical issues (54% [95% CI, 42%-67%] vs 66% [95% CI, 53%-79%]).
CONCLUSION: Medical students who underwent an educational intervention were more likely to contextualize care for individual standardized patients.",0,PRIMARY,Probing for Biomedical Issues,"Probability that the learner probes biomedical red flags raised in standardized patient encounters undertaken at assessment at end of subinternship. Each learner undertakes four encounters, each of which presents a biomedical red flag that may or may not be probed; in a small number of cases, the standardized patient was ill and the learner undertook fewer than four encounters as a result. Assessment of probing is made by an investigator blinded to learner's assignment to group.",Contextualization Workshop,Control,A four-hour course on contextualization.,No intervention,BEHAVIORAL,,EXPERIMENTAL,NO_INTERVENTION,['0.85'],['Chi-squared'],['Superiority or Other'],2010-Sep-15
9654,NCT03331978,"Rise - Treatment Education is superior to Control - No Treatment Education in terms of Viral Suppression baseline (pre-treatment) and post-treatment observations at 7 and 12 months post-baseline. For 7M, medical records were used if within 90 days of survey completion; for 13 months, medical records were used if within 90 days before or 180 days after survey",17563288,Factors associated with engaging socially marginalized HIV-positive persons in primary care.,"This paper examines factors associated with engaging socially marginalized HIV-positive persons in primary care using interview and chart review data from 984 clients presenting for services at 10 agencies participating in a multisite demonstration project. The sample was predominantly minority, and many reported drug and mental health problems as well as housing instability. At baseline, roughly half of the participants were engaged in HIV primary care; the other participants were either not at all engaged in HIV primary care or somewhat engaged in care. Those who were somewhat engaged in care were very similar to those who were not at all engaged in care, and significantly different than those who were fully engaged in care across a number of demographic, health status/utilization, and barriers to care items and fared equally poorly with regard to engagement in care at 12-month follow-up. In 12-month longitudinal analyses, 58% of those not engaged at baseline ( n = 517) became more fully engaged in care. In the final multivariate model that controlled for disease stage, decreases in drug use, structural barriers, and unmet needs were associated with engagement in care. Interventions that focus on decreasing structural barriers and unmet support services needs, addressing negative health beliefs and attending to drug use are promising public health strategies to engage marginalized HIV-positive persons in HIV primary care.",2,PRIMARY,Viral Suppression,Viral load undetectable per venipuncture or medical records,Rise - Treatment Education,Control - No Treatment Education,"Rise consists of a one-month intensive intervention (with three core 60-minute counseling sessions at weeks 1, 2, and 4) followed by two booster sessions (at weeks 12 and 20). If participants show nonadherence during booster sessions, they are offered up to four additional booster sessions (i.e., extra booster sessions if \<85% of prescribed doses were taken in the past month). Thus, participants receive three core sessions in the first month, followed by 2-6 booster sessions over the next four months.

Rise - Treatment Education: Rise consists of a one-month intensive intervention (with three core 60-minute counseling sessions at weeks 1, 2, and 4) followed by two booster sessions (at weeks 12 and 20). If participants show nonadherence during booster sessions, they are offered up to four additional booster sessions (i.e., extra booster sessions if \<85% of prescribed doses were taken in the past month). Thus, participants receive three core sessions in the first month, followed by 2-6 booster sessions over the next four months.",The Usual Care control group will only receive standard of care through their HIV clinics.,BEHAVIORAL,,EXPERIMENTAL,NO_INTERVENTION,['.26'],"['Regression, Logistic']",['Superiority'],2007-N/A-N/A
4639,NCT02079610,Real-time fMRI Neurofeedback: Amygdala is superior to Real-time fMRI Neurofeedback: HIPS in terms of Change From Baseline in Montgomery Asberg Depression Rating Scale at 2 Weeks baseline and 2 weeks,24523939,Real-time FMRI neurofeedback training of amygdala activity in patients with major depressive disorder.,"BACKGROUND: Amygdala hemodynamic responses to positive stimuli are attenuated in major depressive disorder (MDD), and normalize with remission. Real-time functional MRI neurofeedback (rtfMRI-nf) offers a non-invasive method to modulate this regional activity. We examined whether depressed participants can use rtfMRI-nf to enhance amygdala responses to positive autobiographical memories, and whether this ability alters symptom severity.
METHODS: Unmedicated MDD subjects were assigned to receive rtfMRI-nf from either left amygdala (LA; experimental group, n = 14) or the horizontal segment of the intraparietal sulcus (HIPS; control group, n = 7) and instructed to contemplate happy autobiographical memories (AMs) to raise the level of a bar representing the hemodynamic signal from the target region to a target level. This 40s Happy condition alternated with 40s blocks of rest and counting backwards. A final Transfer run without neurofeedback information was included.
RESULTS: Participants in the experimental group upregulated their amygdala responses during positive AM recall. Significant pre-post scan decreases in anxiety ratings and increases in happiness ratings were evident in the experimental versus control group. A whole brain analysis showed that during the transfer run, participants in the experimental group had increased activity compared to the control group in left superior temporal gyrus and temporal polar cortex, and right thalamus.
CONCLUSIONS: Using rtfMRI-nf from the left amygdala during recall of positive AMs, depressed subjects were able to self-regulate their amygdala response, resulting in improved mood. Results from this proof-of-concept study suggest that rtfMRI-nf training with positive AM recall holds potential as a novel therapeutic approach in the treatment of depression.",2,PRIMARY,Change From Baseline in Montgomery Asberg Depression Rating Scale at 2 Weeks,"Depression symptom severity rating scale. The overall score ranges on MADRS are from from 0 to 60, with higher scores indicating more severe depression. Usual cutoff points are:

0 to 6 - normal /symptom absent 7 to 19 - mild depression 20 to 34 - moderate depression \>34 - severe depression",Real-time fMRI Neurofeedback: Amygdala,Real-time fMRI Neurofeedback: HIPS,"Amygdala neurofeedback - attempt to upregulate the left amygdala during positive autobiographical memory recall via real time fMRI neurofeedback from the amygdala. Two sessions will be performed one week apart.

real-time fMRI neurofeedback: Amygdala: Participants are shown activity from their left amygdala in real time and are instructed to increase the level of activity in that region by thinking of positive autobiographical memories.","HIPS neurofeedback - attempt to upregulate the left horizontal segment of the intraparietal sulcus (HIPS), a region not involved in emotional processing, during positive autobiographical memory recall via real time fMRI neurofeedback from the HIPS. Two sessions will be performed one week apart.

real-time fMRI neurofeedback: HIPS: Participants are shown activity from their left horizontal segment of the intraparietal sulcus in real time and are instructed to increase the level of activity in that region by thinking of positive autobiographical memories.",BEHAVIORAL,BEHAVIORAL,EXPERIMENTAL,ACTIVE_COMPARATOR,['<0.001'],['Mixed Models Analysis'],['Superiority'],2014-N/A-N/A
10511,NCT01646255,Full Analysis Set (Rotigotine Treated Subjects) is superior or other to Full Analysis Set (Placebo Treated Subjects) in terms of Absolute Change in Absolute Time Spent 'Off' From Baseline to the End of Double-blind Maintenance Period From Baseline (Week 0) to end of Maintenance Period (up to Week 12),28827011,"Rotigotine transdermal patch in Chinese patients with advanced Parkinson's disease: A randomized, double-blind, placebo-controlled pivotal study.","INTRODUCTION: Rotigotine was demonstrated to be efficacious and well-tolerated in three placebo-controlled studies (CLEOPATRA-PD/PREFER/SP921) of patients with advanced-stage Parkinson's disease (PD), most of whom were Caucasian. This multicenter phase 3 study (SP1037; NCT01646255) was the first to investigate the efficacy and safety of rotigotine in Chinese patients with advanced-stage PD.
METHODS: Chinese patients with PD, inadequately controlled on levodopa (stable dose ≥200 mg/day), with ≥2.5 h/day ""off"" time, and Hoehn & Yahr stage 2-4, were randomized 1:1 to receive transdermal rotigotine or placebo, titrated over ≤7 weeks, maintained at optimal/maximum dose (4-16 mg/24 h) for 12 weeks. Primary efficacy variable: mean change in absolute ""off"" time (according to patient diaries) from baseline to end of maintenance. Safety variables included adverse events (AEs) and discontinuations due to AEs.
RESULTS: 346 patients were randomized and 89.9% completed the study (87.8% placebo; 92.0% rotigotine). All were Chinese (58.7% male; mean ± SD age: 62.2 ± 8.9 years; mean ± SD time since PD diagnosis: 6.62 ± 3.70 years). Rotigotine significantly reduced ""off"" time vs placebo (LS mean [95% CI] treatment difference: -1.20 h/day [-1.83, -0.57]; p = 0.0002), and resulted in more responders (≥30% decrease in ""off"" time: 36.9% placebo; 48.8% rotigotine; p = 0.0269). AEs were reported for 86 (50.0%) placebo- and 103 (59.2%) rotigotine-treated patients; 15 discontinued due to AEs (placebo 7; rotigotine 8). The most common AEs (≥5%) were dizziness, nausea, pruritus, and dyskinesia.
CONCLUSIONS: Rotigotine was efficacious in Chinese patients with advanced-stage PD as add-on therapy to levodopa, significantly reducing ""off"" time vs placebo; the treatment difference was similar to that observed in previous studies of mainly Caucasian patients. Rotigotine was generally well-tolerated and had a similar AE profile to those observed in previous studies.",1,PRIMARY,Absolute Change in Absolute Time Spent 'Off' From Baseline to the End of Double-blind Maintenance Period,"A subject has been considered ""off"" when he/she began to lose the optimum effects of anti-Parkinson's medication. A negative mean indicates a reduction of the time off during the conduct of the study",Full Analysis Set (Rotigotine Treated Subjects),Full Analysis Set (Placebo Treated Subjects),Subjects received rotigotine in escalating weekly doses (starting with daily doses of rotigotine 4 mg/ 24 h or matching placebo) until an optimal dose or maximal dose of rotigotine 16 mg/ 24 h was achieved. Each dose level was maintained for 1 week.,Subjects randomized to placebo received matching placebo patches.,DRUG,DRUG,EXPERIMENTAL,PLACEBO_COMPARATOR,['=0.0002'],['ANCOVA'],['Superiority or Other'],2017-Nov-N/A
7885,NCT04373460,SARS-CoV-2 Convalescent Plasma is superior to Standard Control Plasma in terms of Cumulative Number of Hospitalizations or Deaths Prior to Hospitalization Up to day 28,34981068,Randomized Controlled Trial of Early Outpatient COVID-19 Treatment with High-Titer Convalescent Plasma.,"BACKGROUND: The efficacy of polyclonal high titer convalescent plasma to prevent serious complications of COVID-19 in outpatients with recent onset of illness is uncertain.
METHODS: This multicenter, double-blind randomized controlled trial compared the efficacy and safety of SARS-CoV-2 high titer convalescent plasma to placebo control plasma in symptomatic adults ≥18 years positive for SARS-CoV-2 regardless of risk factors for disease progression or vaccine status. Participants with symptom onset within 8 days were enrolled, then transfused within the subsequent day. The measured primary outcome was COVID-19-related hospitalization within 28 days of plasma transfusion. The enrollment period was June 3, 2020 to October 1, 2021.
RESULTS: A total of 1225 participants were randomized and 1181 transfused. In the pre-specified modified intention-to-treat analysis that excluded those not transfused, the primary endpoint occurred in 37 of 589 (6.3%) who received placebo control plasma and in 17 of 592 (2.9%) participants who received convalescent plasma (relative risk, 0.46; one-sided 95% upper bound confidence interval 0.733; P=0.004) corresponding to a 54% risk reduction. Examination with a model adjusting for covariates related to the outcome did not change the conclusions.
CONCLUSION: Early administration of high titer SARS-CoV-2 convalescent plasma reduced outpatient hospitalizations by more than 50%. High titer convalescent plasma is an effective early outpatient COVID-19 treatment with the advantages of low cost, wide availability, and rapid resilience to variant emergence from viral genetic drift in the face of a changing pandemic.
TRIAL REGISTRATION: ClinicalTrials.gov number, NCT04373460.",1,PRIMARY,Cumulative Number of Hospitalizations or Deaths Prior to Hospitalization,Cumulative Number measured as the proportion of subjects who were hospitalized or who died prior to hospitalization,SARS-CoV-2 Convalescent Plasma,Standard Control Plasma,"SARS-CoV-2 convalescent plasma (1 cup; minimum of 175 mL collected by apheresis from a volunteer who recovered from COVID-19 disease and has SARS-CoV-2 antibody titers ≥ 1:320 and after July 2021 meets FDA criteria for high titer plasma.

SARS-CoV-2 convalescent plasma: SARS-CoV-2 convalescent plasma (1 cup; minimum of 175 mL collected by apheresis from a volunteer who recovered from COVID-19 disease and has SARS-CoV-2 antibody titers ≥ 1:320 and after July 2021 meets FDA criteria for high titer plasma.","Plasma collected from a volunteer donor prior to January 1, 2020 will not be tested for SARS-CoV-2 antibodies. Plasma collected after December 31, 2019 will be confirmed as SARS-CoV-2 seronegative.

Plasma from a volunteer donor: Plasma collected from a volunteer donor prior to January 1, 2020 will not be tested for SARS-CoV-2 antibodies. Plasma collected after December 31, 2019 will be confirmed as SARS-CoV-2 seronegative.",BIOLOGICAL,BIOLOGICAL,EXPERIMENTAL,ACTIVE_COMPARATOR,['0.005'],['Fisher Exact'],['Superiority'],2021-Dec-21
885,NCT01163214,"Nerve Block is superior or other to Periarticular Injection in terms of Post-Operative Pain Afternoon on post-operative Day 1, approximately 14:00",24706022,The Chitranjan Ranawat Award: Periarticular injections and femoral & sciatic blocks provide similar pain relief after TKA: a randomized clinical trial.,"BACKGROUND: Two of the more common methods of pain management after TKA are peripheral nerve blocks and intraarticular/periarticular injections. However, we are not aware of any study directly comparing the commonly used combination of a continuous femoral block given with a single-shot sciatic block with that of a periarticular injection after TKA.
QUESTIONS/PURPOSES: This randomized clinical trial compared a combined femoral and sciatic nerve block with periarticular injection as part of a multimodal pain protocol after total knee arthroplasty with respect to (1) pain; (2) narcotic use; (3) quadriceps function and length of stay; and (4) peripheral nerve complications.
METHODS: One hundred sixty patients completed randomization into two treatment arms: (1) peripheral nerve blocks (PNB; n=79) with an indwelling femoral nerve catheter and a single shot sciatic block; or (2) periarticular injection (PAI; n=81) using ropivacaine, epinephrine, ketorolac, and morphine. All patients received standardized general anesthesia and oral medications. The primary outcome was postoperative pain, on a 0 to 10 scale, measured on the afternoon of postoperative day 1 (POD 1). Secondary outcomes were narcotic use, quadriceps function, length of stay, and peripheral nerve complications.
RESULTS: Mean pain scores on the afternoon of POD 1 were not different between groups (PNB group: 2.9 [SD 2.4]; PAI group: 3.0 [SD 2.2]; 95% confidence interval, -0.8 to 0.6; p=0.76). Mean pain scores taken at three times points on POD 1 were also similar between groups. Hospital length of stay was shorter for the PAI group (2.44 days [SD 0.65] versus 2.84 days [SD 1.34] for the PNB group; p=0.02). Narcotic consumption was higher the day of surgery for the PAI group (PAI group: 11.7 mg morphine equivalents [SD 13.1]; PNB group: 4.6 mg [SD 9.1]; p<0.001), but thereafter, there was no difference. More patients in the PNB group had sequelae of peripheral nerve injury (mainly dysesthesia) at 6-week followup (nine [12%] versus one [1%]; p=0.009).
CONCLUSIONS: Patients receiving periarticular injections had similar pain scores, shorter lengths of stay, less likelihood of peripheral nerve dysesthesia, but greater narcotic use on the day of surgery compared with patients receiving peripheral nerve blocks. Periarticular injections provide adequate pain relief, are simple to use, and avoid the potential complications associated with nerve blocks.
LEVEL OF EVIDENCE: Level I, therapeutic study. See Guidelines for Authors for a complete description of levels of evidence.",0,PRIMARY,Post-Operative Pain,"Pain was measured using a linear analog scale for pain, with a scale from 0 (no pain) to 10 points (worst possible pain).",Nerve Block,Periarticular Injection,"Preoperative femoral block with indwelling femoral catheter and a single shot sciatic block.

Nerve Block: Regional anesthetic nerve block using an indwelling femoral nerve catheter and a single shot sciatic nerve block using 0.5% ropivacaine.","Injection combination prior to skin closure.

Periarticular Injection: Periarticular local injection into the periarticular soft tissues at the time of knee replacement using a combination of ropivacaine, epinephrine, ketorolac, and morphine sulphate. Subjects in this arm received the injection combination based on three subject weight categories.",DRUG,DRUG,EXPERIMENTAL,ACTIVE_COMPARATOR,"['0.76', '0.59']","['t-test, 2 sided', 'Wilcoxon (Mann-Whitney)']",['Superiority or Other'],2015-Jan-N/A
9085,NCT02565147,PPCI With Bivalirudin is superior to PPCI With Heparin in terms of CMR Assessment Of Infarct Size At Day 5 5 days post PPCI,623206,Experimental infarct size as a function of the amount of myocardium at risk.,"Occlusion of the same coronary artery at the same anatomic site in a group of dogs results in significant variation in the size of the resultant infarcts. The present study shows that much of this variation can be explained by differences in the pattern of distribution of the occluded coronary artery. The relationship between the anatomic size of an occluded coronary bed and the the amount of necrosis resulting from 40 minutes of proximal circumflex coronary (LCC) occlusion and 3 days of reperfusion was determined in randomly selected dogs using an in vitro latex coronary injection technique. The amount of necrosis, calculated from serial histologic sections taken through the posterior papillary muscle (PP), correlated closely with the size of the occluded coronary bed: 5 dogs with small LCC beds (26 +/- 2%) had 10 +/- 3% PP necrosis; 5 dogs with medium-sized LCC beds (37 +/- 2%) had 33 +/- 1% necrosis; and 7 dogs with large LCC beds (42 +/- 1%) had 51 +/- 2% necrosis. The results show that much of the variability in infarct size among dogs subjected to coronary artery occlusion at the same anatomic site is a function of differences in ischemic bed size. Grouping dogs by occluded coronary bed size may improve the resolution of experimental studies testing the effect of various therapies on infarct size.",2,PRIMARY,CMR Assessment Of Infarct Size At Day 5,"Size of cardiac infarct, expressed as grams, as assessed by CMR. The use of CMR has dramatically improved the ability for accurate infarct size estimations and is therefore currently considered the gold standard. The number of participants and their mean reported infarct size, as grams, at Day 5 are presented.",PPCI With Bivalirudin,PPCI With Heparin,Bivalirudin was administered as a bolus (0.75 mg/kg) and an infusion (1.75 mg/kg/h) for the duration of the PPCI and continued for the first 4 h after completion of the procedure.,UFH was administered as a bolus according to standard of care for completion of PPCI per site. An ACT ≥250 s at the end of the procedure was recommended.,DRUG,DRUG,EXPERIMENTAL,ACTIVE_COMPARATOR,['0.7505'],['Wilcoxon Rank Sum Test'],['Superiority'],1978-Feb-N/A
4943,NCT02107898,Alirocumab 75 mg/Up to 150 mg Q2W is superior or other to Placebo Q2W in terms of Percent Change From Baseline in Calculated LDL-C at Week 24 - Intent-to-Treat (ITT Analysis) From Baseline to Week 24,27452202,Efficacy and Safety of Alirocumab in Japanese Patients With Heterozygous Familial Hypercholesterolemia or at High Cardiovascular Risk With Hypercholesterolemia Not Adequately Controlled With Statins　- ODYSSEY JAPAN Randomized Controlled Trial.,"BACKGROUND: The ODYSSEY Japan study was designed to demonstrate the reduction in low-density lipoprotein cholesterol (LDL-C) by alirocumab as add-on to existing lipid-lowering therapy in Japanese patients with heterozygous familial hypercholesterolemia (heFH) or non-FH at high cardiovascular risk who require additional pharmacological management to achieve their LDL-C treatment goal (<2.6 or <3.1 mmol/L, depending on risk category).
METHODS AND RESULTS: This randomized, double-blind, parallel-group, 52-week study was conducted in Japan. Patients (n=216) with heFH, non-FH at high cardiovascular risk with coronary disease, or classified as category III were enrolled. The prespecified safety analysis was done after the last patient completed 52 weeks. Patients were randomized (2:1, alirocumab:placebo) with stratification for heFH to s.c. alirocumab (75 mg every 2 weeks [Q2 W] with increase to 150 mg if week 8 LDL-C ≥2.6/3.1 mmol/L) or placebo for 52 weeks plus stable statin therapy. At week 24, mean±SE change in LDL-C from baseline was -62.5±1.3% in the alirocumab group and 1.6±1.8% in the placebo group (difference, -64.1±2.2%; P<0.0001); the reduction was sustained to week 52 (alirocumab, -62.5±1.4%; placebo, -3.6±1.9%). No patterns were evident between treatment groups for adverse events at 52 weeks.
CONCLUSIONS: In high-risk Japanese patients with hypercholesterolemia on stable statin therapy, alirocumab markedly reduced LDL-C vs. placebo and was well tolerated over 52 weeks. (Circ J 2016; 80: 1980-1987).",1,PRIMARY,Percent Change From Baseline in Calculated LDL-C at Week 24 - Intent-to-Treat (ITT Analysis),Adjusted least-squares (LS) means and standard errors at Week 24 were obtained from a mixed-effect model with repeated measures (MMRM) to account for missing data. All available post-baseline data from Week 4 to Week 24 regardless of status on- or off-treatment were used in the model (ITT analysis).,Alirocumab 75 mg/Up to 150 mg Q2W,Placebo Q2W,Alirocumab 75 mg SC injection Q2W added to stable LMT for 52 weeks. Alirocumab dose up-titrated to 150 mg from Week 12 when LDL-C levels ≥ 100 mg/dL (2.59 mmol/L) or ≥ 120 mg/dL (3.10 mmol/L) at Week 8 according to JAS Guidelines for Prevention of Atherosclerotic Cardiovascular Diseases 2012.,Placebo (for alirocumab) SC injection Q2W added to stable LMT for 52 weeks.,DRUG,DRUG,EXPERIMENTAL,PLACEBO_COMPARATOR,['<0.0001'],['Mixed Models Analysis'],['Superiority or Other'],2016-Aug-25
8965,NCT04560374,"Experimental Group is equivalent to Control Group in terms of Neonate Infant Pain Scale Score Before the procedure (0th minute), during the procedure, after the procedure (2nd and 10th minutes)",20926970,Reducing neonatal pain during routine heel lance procedures.,"PURPOSE: To measure the difference in pain scores for newborns who were held and swaddled while undergoing routine heel lance procedures compared to newborns who were lying on their backs and not swaddled during heel lance. Additionally, we sought to compare the total amount of time it took to collect the specimens in each group.
DESIGN AND METHODS: A total of 42 neonates recruited from a large tertiary hospital were enrolled in a randomized controlled trial. Infants in the experimental group (n = 22) were swaddled and held in an upright position during routine heel lance procedures while neonates in the control group (n = 20) remained in a standard care position. Pain was measured with the Neonatal Inventory Pain Scale (NIPS) at two points in time for each group (just before the heel lance procedure and at the completion of the heel lance). Total collection time was measured using a stopwatch accurate to 1/100th of a second. Specimen quality was measured based on the number of rejected specimens for each group. Descriptive statistics and t tests were used to analyze the data.
RESULTS: The mean NIPS score for neonates who were swaddled and held during the procedure (experimental group) was significantly lower (M = 1.3, SD = .9) than the score for infants in the standard position (control group) (M = 2.7, SD = 1.3), t (40) = -4.48, p < .001. Although the total collection time was lower for infants who were swaddled (2 minutes and 17 seconds, SD = 59) versus (2 minutes and 47 seconds, SD = 85) for controls, this was not a statistically significant difference (p = .45).
CLINICAL IMPLICATIONS: Swaddling combined with positioning neonates upright during routine heel lance procedures offers nurses a nonpharmacologic method of neonatal pain reduction for heel sticks. This technique can be easily implemented on any unit independent of facility protocols. Furthermore, the technique is not associated with any cost or policy development, making it more likely that nurses can use it in practice.",2,PRIMARY,Neonate Infant Pain Scale Score,"Neonate Infant Pain Scale score calculated before, durring and after heel lance procedure whom neonates delivered crochet octopus and not delivered crochet octopus. It is a 6-itemed scale developed to assess the pain occuring due to interventions implemented to term and premature infants. The scoring of the scale was realized by assessing five behavioral classification (mimics, crying, movements of arms and legs, wakefulness state) and one physological parameter (type of respiration). It needs too much time and is difficult to assess intubated infants. It is suitable for painful conditions of non-intubated infants . Total score calculated. The lowest score of the scale is 0; the highest one is 7 and 3+ score shows the presence of pain.",Experimental Group,Control Group,Crochet octopus was delivered to the hands of the neonates in the experimental group 10 minutes before heel lance process and they were contacted with the crochet octopus up to 10 minutes after the procedure.,Control group neonates were performed all the process without delivering them any crochet octopus.,DEVICE,,EXPERIMENTAL,NO_INTERVENTION,['<0.001'],['Wilcoxon (Mann-Whitney)'],['Equivalence'],2010-N/A-N/A
